ID_ALUNO,IDADE,ANO_INGRESSO,FORMA_INGRESSO,ANO_EVASAO,FORMA_EVASAO,NATURALIDADE,ETNIA,DEFICIENCIAS,COTAS,BOLSA
107037604F12BC8AE27E444773372FEF,Acima de 35 anos,2018,Processo Seletivo - SiSU,,Sem Evasao,Rio Branco-AC,Parda,Sem Deficiencia,Candidatos de Escola Publica com Baixa Renda PPI,Possuia
10CAAD252666C9992275B6BE2555DC6E,Acima de 35 anos,2011,Vestibular,2014,Jubilamento,Nao informado,Branca,Sem Deficiencia,Ampla Concorrencia,Não Possuia
10E5B435085699BB6FA8583B17F1B200,Menos de 19 anos,2022,Processo Seletivo - SiSU,,Sem Evasao,Rio Branco-AC,Parda,Sem Deficiencia,Candidatos de Escola Publica com Baixa Renda PPI,Possuia
11B4076AFD563B2612049C2C77465B32,26-35 anos,2011,Vestibular,2017,Jubilamento,Nao informado,Branca,Sem Deficiencia,Ampla Concorrencia,Não Possuia
11BD0FF5338B26539C318B8647DFD515,Menos de 19 anos,2011,Vestibular,2018,Jubilamento,Nao informado,Branca,Sem Deficiencia,Ampla Concorrencia,Possuia
123EE944824996433BA17E57E8A227C9,19-25 anos,2008,Transferencia Externa,2014,Jubilamento,Rio Branco-AC,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Possuia
129CCFC1C1A82B0B23D4473A72373A0A,Menos de 19 anos,2008,Vestibular,2012,Formado,Ariquemes-RO,Branca,Sem Deficiencia,Ampla Concorrencia,Possuia
12A84AB992BDD63F5303E6DD60CC10E8,Acima de 35 anos,2010,Vestibular,2018,Desistencia,Rio Branco-AC,Parda,Sem Deficiencia,Ampla Concorrencia,Possuia
131B54C0E76A60DBD66F9854C282FCC0,Menos de 19 anos,2022,Processo Seletivo - SiSU,,Sem Evasao,Rio Branco-AC,Parda,Sem Deficiencia,Candidatos de Escola Publica com Baixa Re,Não Possuia
14FD9FB569A4F7693950B8A7F2E66699,Menos de 19 anos,2013,Processo Seletivo - SiSU,2014,Desistencia,Rio Branco-AC,Nao Declarada,Sem Deficiencia,Vagas destinadas aos candidatos de escola publica e baixa renda,Não Possuia
159497659EBFF7149AFD18ED6D5602E3,19-25 anos,2019,Processo Seletivo - SiSU,2023,Jubilamento,Rio Branco-AC,Parda,Sem Deficiencia,Ampla Concorrencia,Não Possuia
15978EC98CC7FB6D2B95CD397439F23A,Acima de 35 anos,2013,Processo Seletivo - SiSU,2013,Desistencia,Tres Rios-RJ,Nao Declarada,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas independente de renda",Não Possuia
15B16CF1AA29A55A67EEEB7DC6E5F686,Menos de 19 anos,2011,Vestibular,2019,Jubilamento,Nao informado,Branca,Sem Deficiencia,Ampla Concorrencia,Não Possuia
15D1A876D2BF59243BE3BF0C95124747,26-35 anos,2011,Vestibular,2015,Desistencia,Rio Branco-AC,Branca,Sem Deficiencia,Ampla Concorrencia,Não Possuia
1602C2B2B3692F45F9C6F00E435BDDE5,Menos de 19 anos,2012,Enem,2017,Jubilamento,Rio Branco-AC,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Possuia
16B21938C0C7B65A2D829E9672F5F825,Menos de 19 anos,2016,Processo Seletivo - SiSU,2016,Desistencia,Rio Branco-AC,Parda,Sem Deficiencia,Geral,Não Possuia
16D2F02A8BE0B104E69B6E15345623CF,Acima de 35 anos,2012,Enem,2019,Formado,Rio Branco-AC,Nao Declarada,Fisica,Ampla Concorrencia,Possuia
17330AF5B950D1D9B8F74629F91BABA7,26-35 anos,2019,Processo Seletivo - SiSU,2022,Jubilamento,Cruzeiro do Sul-AC,Parda,Sem Deficiencia,Candidatos de Escola Publica com Baixa Renda PPI,Não Possuia
175F9F6B6C231AE5DE90058948F6228C,Menos de 19 anos,2016,Processo Seletivo - SiSU,2016,Desistencia,Rio Branco-AC,Parda,Sem Deficiencia,"Candidatos de Escola Publica Independente de Renda (Pretos, Pardos e Indigenas)",Não Possuia
181D697BA3986E50233A8DFB70D2D11A,Acima de 35 anos,2017,Processo Seletivo - SiSU,,Sem Evasao,Porto Velho-RO,Branca,Sem Deficiencia,Candidatos de Escola Publica Independente de Renda,Possuia
1821CE1CC29352198FBC729EFDFA528A,19-25 anos,2018,Transferencia Externa,2022,Jubilamento,Tarauaca-AC,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Não Possuia
185D74F7B374C0AC461CA88FDB8C8B4A,26-35 anos,2016,Enem,2017,Desistencia,Rio Branco-AC,Parda,Sem Deficiencia,Geral,Não Possuia
